audio	sentence	speaker_gender
07-200916-164857_bem_c20_elicit_20.wav	umulumendo atieya mukwa	Female
01-200929-223449_bem_fb0_elicit_6.wav	cilumendo ulya cilia afika atuntumana na ku kushobola janet ati	Male
11-201010-161959_bem_c4b_elicit_10.wav	imfuko yaba na kamucila akepi	Female
03-201007-015856_bem_798_elicit_7.wav	umwana wandi umo aila ku kufwaye mfuti shakuli ese acimfishemo abalwani bamuteka ku munga we fwafwa	Female
01-180101-221817_bem_d31_elicit_13.wav	mateo akamaila pa bantu bakuyako aba yuda  ababambi bashapo ici cikomo icikankala	Male
03-201007-015856_bem_798_elicit_32.wav	musa wena apola	Female
04-201005-211232_bem_40e_elicit_16.wav	nomba pa kuya ku kupepa balacita ifi nyina alesenda ifintu fye lambo mwenya ena inkuni sha kocelapo iciita	Female
01-180101-020249_bem_d31_elicit_3.wav	ukulanshanya na lesa	Male
03-200923-215451_bem_798_elicit_30.wav	aba pelishiti balishile nakabili ne fita fyabo	Female
01-180101-023953_bem_d31_elicit_2.wav	na shikulu yesu cilolo wa mutende nao icalo tacamusuminishe ukuti acite umutende muli bene	Male
03-200924-194133_bem_798_elicit_10.wav	ilingi line baice bamalonda pamo na bakacema	Female
06-200916-152623_bem_c20_elicit_20.wav	aleti ati atile we kameme kauma kauma na pakanwa	Female
01-200918-113920_bem_d31_elicit_2.wav	mwilaba ukutila nakuli baifwe bene cila lubembu mulatumbuka ifintu ifibi	Male
03-200916-010158_bem_798_elicit_18.wav	napakulanga umwana ukuba umusuma balamweba ukupelako abanakwe uto akwete  balamusambilisha ubupe	Female
05-200916-193628_bem_a40_elicit_28.wav	amano mambulwa	Male
03-200921-160552_bem_798_elicit_17.wav	ukupatikisha umunobe ukupanga icupo elyo na	Female
03-201004-091537_bem_798_elicit_27.wav	baileikata abawe bene abo e paki baashukile ubo bushiku	Female
12-201010-083232_bem_526_elicit_40.wav	cilya yapwa ukukumba yampela aiti mupele anwe nga anwamo na iwe wine unwemo	Male
01-200929-215409_bem_fb0_elicit_31.wav	janet njikala pa yadi pa mr thorncroft epo ndela abana bakwe	Male
03-200925-043821_bem_798_elicit_13.wav	panuma naiswile umweo wandi no kwita yesu ukuti engesa mu mweo wandi ngo mupusushi kabili imfumu yandi	Female
03-200916-033028_bem_798_elicit_14.wav	takuli nangu cimo ico twingacita lesa ngatatwafwile	Female
03-200924-200908_bem_798_elicit_23.wav	elyo twashininkisha ici ecakutulenga ukwingila umwasansama kabili mu bwite ubwaibela pamo nga fintu calemonekela mu kusubwa na mafuta mu cipingo ca kale	Female
13-201009-112851_bem_40e_elicit_11.wav	ali ni shimapepo wa mu fipooma na mu mpili na mu ncengo	Male
01-180101-045438_bem_d31_elicit_1.wav	ukufufunkanya indalama ku kalenga abaleshitisha ukukana pokelela ififwile ukusabankanishiwa	Male
04-201008-151412_bem_40e_elicit_18.wav	nalimo kuti nacimfya abalwani bandi	Female
01-180101-062208_bem_d31_elicit_36.wav	na mukulekelesha akasuba kaliwile	Male
09-200916-054405_bem_a40_elicit_35.wav	natotela sana pakuncikulako pali fyonse ifi	Female
07-200916-171635_bem_c20_elicit_5.wav	imfumu yayatifye ee nomba abilapo	Female
12-201007-181124_bem_526_elicit_37.wav	nomba iminaile e ishalensekesha kuti wati tababa na minwe	Male
03-201001-105646_bem_798_elicit_33.wav	wilaiba	Female
03-201007-013831_bem_798_elicit_43.wav	bena kulya kuti cabasekeshe nganshi abati mwandi elyo tukwete cita icakuti na pa kutusha caikata ifipondo ukunoku	Female
01-200918-101707_bem_d31_elicit_10.wav	shikaalukila ku fitabo fya scientology mukufwaya icishinka icipingo cikasanguka icafye mu menso shaiko	Male
01-200918-120021_bem_d31_elicit_32.wav	bomfyeniko iyi ncende ipya mu kusambilila no kucinjanya amatontonkanyo na bambi	Male
03-200921-105818_bem_798_elicit_56.wav	bushe ni baani abengambula ubulwele bwa kolonavailasi	Female
12-201007-181124_bem_526_elicit_26.wav	na cine namona umunandi acincila sana	Male
01-180101-031630_bem_d31_elicit_2.wav	mu cipingo ca kale kasesema daniele alilondolola pamulandu wa luko ulwabembwike kuli lesa ili lyashi lyalembwa muli daniele nine verse one to nineteen	Male
06-200918-153816_bem_c20_elicit_40.wav	imfumu aiti mwaumfwa kuli aka kantu nine uleeba ifyo twalauko wikanshikula alaisa umusula mubiyo wise uyeko	Female
01-201005-222019_bem_fb0_elicit_45.wav	iwe apo upupuka kabili walishiba napo inshimu shikala pe e calenga kanshi iwe uleshilengula nga washimona apo shili waisanjita	Male
01-180101-122837_bem_d31_elicit_6.wav	iwee katumbi isa kuno	Male
05-200916-125800_bem_a40_elicit_19.wav	twalacinda akalela	Male
06-200916-094743_bem_c20_elicit_13.wav	sunkutu pakumfwa ifyo ati kanshi akwenda mune	Female
01-180101-042805_bem_d31_elicit_30.wav	ukutumbula ubunake bwesu cila muntu pakuti tufikilishe umulimo ukalamba	Male
03-201004-103454_bem_798_elicit_16.wav	cilya bapwo kupepa elyo batunguluulo mulongo no mukaili pantashi	Female
01-200922-012211_bem_d31_elicit_0.wav	baba banga	Male
04-201009-110829_bem_40e_elicit_9.wav	no kupalana bakapalana nao ukumfwa umusuma akapokelelwa na lesa akalatuusha no kusansamuka muli lesa imfumu yesu'	Female
03-201002-091908_bem_798_elicit_21.wav	nga aba na ubututulume	Female
01-201005-232741_bem_fb0_elicit_12.wav	amalibu ya mupamba yaipaya abantu bonse mu musumba ne mfumu ine kumo yaipaya	Male
05-200916-124150_bem_a40_elicit_31.wav	icipuna candi cilekontoka	Male
03-200921-105818_bem_798_elicit_63.wav	abantu abaleikata inama ne fyakulya fimbi ififuma ku nama ifikwete akashiishi ka kolona	Female
01-201002-011519_bem_fb0_elicit_19.wav	banalume bayakalipa sana pa mulandu wakuti joni alufya ifipe ifingi	Male
03-201004-091537_bem_798_elicit_22.wav	inkondo bailwile nshiku shine abawe nabo bakosele cibi	Female
11-201007-191752_bem_c4b_elicit_12.wav	utuni nato elyo tusempuka twalamananya fye pantu utulyo no tuntu tumbi utwalowa e nshita tumoneka	Female
03-201007-002328_bem_798_elicit_43.wav	elyo balisha ne mfuti pa mwinshi	Female
03-201006-005222_bem_798_elicit_4.wav	bamono kupama kwafulisha bamusenda bamutwala na ku nanda abati aye asendame uleke atuushe	Female
05-200918-093426_bem_a40_elicit_15.wav	webo ukwa kuteya noti ku mumana	Male
03-201007-013831_bem_798_elicit_18.wav	li ahbudula lyashulukakofye	Female
04-201008-151412_bem_40e_elicit_13.wav	yatuma abantu baisaita nyina kwa mulenga na nkashi yakwe pakuti bese basose bwino ifyo cali	Female
05-200916-194744_bem_a40_elicit_2.wav	ichine nkashi chishipula umumbo	Male
11-201011-164709_bem_c4b_elicit_30.wav	yaingila na mu iliba yatendeka ukuputula umumposempose	Female
04-200914-220511_bem_346_elicit_14.wav	bebeko waile kwisa	Female
