audio	sentence	speaker_gender
01-201001-201528_bem_fb0_elicit_25.wav	pantu nalishiba abakashana balongana ku fyangalo fya musongo uyu ifyo baba tababa na misango ineine	Male
02-200917-163739_bem_197_elicit_23.wav	umulongo wabantu uutali nganshi	Male
04-201009-110829_bem_40e_elicit_11.wav	abakwa lesa bapokelelwa na lesa bena betwa abatakatifu	Female
05-200917-111722_bem_a40_elicit_31.wav	nako kebele awe shikulu amaka ine nayapwa	Male
03-201006-011410_bem_798_elicit_10.wav	ico ashishibe cilimi icakumwasuka cabula	Female
01-201005-212422_bem_fb0_elicit_12.wav	ameno yakwe kuti nga akokota pe fupa ilya muntu kuti wati ni soo aputula	Male
17-200916-193611_bem_346_elicit_24.wav	lelo twalasambilila ukulemba muleumfwa	Female
01-201005-222019_bem_fb0_elicit_1.wav	kale imyaka ishishibantu ing'uni yali ni cibusa wa nshimu batemwanene nganshi baleyangalila pamo no kwafwana	Male
12-201010-100842_bem_526_elicit_29.wav	elyo yatendeka ukutwipusha imitundu yesu umunandi ati mukwai uyu mubemba na ine ndi mulozi	Male
01-180101-223427_bem_d31_elicit_49.wav	ukuya mukusambilila ifyakubelenga no kusoma icipingo na banankwe ukubikapofye na bawishi aba ku mupashi	Male
03-200921-160552_bem_798_elicit_18.wav	ukutiinya abaice nangu ifiteekwa	Female
03-200925-043821_bem_798_elicit_29.wav	eico tulefwaya bakalenga icantanshi pali fyonse ni abo bengalenga icikope icinga pulitwa mwilangi limo	Female
17-200915-120130_bem_346_elicit_34.wav	elo ba kafundisha nga baisulako tulalanda kuli bena	Female
11-201011-185414_bem_c4b_elicit_29.wav	ifyo fine abatantawila fye bonse pyuu	Female
03-200918-110406_bem_798_elicit_37.wav	naifwe katulumbanye impalume shesu pafyo shiletukitila na pafyo shilecitila icalo cesu	Female
01-201005-224141_bem_fb0_elicit_15.wav	lilya abalondo baya ku mushi ifyula fyayalongana apo banike amasumbu fyalatamba	Male
03-201006-025003_bem_798_elicit_11.wav	atile ashipolafye aba na bwinobwino elyo bamupeela ne nkonto ilya ine enda nayo iyakulikiwa ku kuulu	Female
05-200917-101616_bem_a40_elicit_90.wav	kwena baleonda balya nebo no kupa nomba nalaupa kaili nakula mutwalilafye ilinso uo nalaupa tulelya nankwe	Male
03-200921-112400_bem_798_elicit_16.wav	umuntu onse alikwata insambu shakukwata ubwampano ubusuma kabili ubwacingililwa no lupwa lwakwe ifibusa na batemwikwa bakwe	Female
03-201002-054811_bem_798_elicit_25.wav	kwali nakantu akalelila ngaa ngaa ngaa awe nakaposele mucimbusu paka kaleka	Female
01-180101-122837_bem_d31_elicit_38.wav	bushe tawafulungana iwe	Male
03-200916-023738_bem_798_elicit_34.wav	leelo icishiki cilatinwa pantu cilakena  caliminina pakuti onse ulepita ekisula	Female
03-200925-061220_bem_798_elicit_21.wav	atwasumina mu ng'wena	Female
03-201002-063230_bem_798_elicit_21.wav	naani baipwishe pafyo kolala aendele ilyo alenwa ubwalwa	Female
03-200916-142856_bem_798_elicit_9.wav	umwana ashipusha alile umusumba wakwa wishi	Female
01-180101-134124_bem_d31_elicit_22.wav	ba nkashi namwishiba nacikila pa bashi sisheni iyabela kulya	Male
04-201008-153522_bem_40e_elicit_22.wav	cinecine christu ena ali no mubili wa cinecine ulya bamushikile nao nomba wali usuma uwabeeka uwayanguka uucindami sana	Female
03-201004-122608_bem_798_elicit_21.wav	ku mpili uko nomba ninshi e pakuilanga ukuti cinccine kwena tuli baume tatuli bakusuula nakalya	Female
03-201004-113233_bem_798_elicit_34.wav	ukusendama baleesendama mu ncengo	Female
03-201007-022920_bem_798_elicit_19.wav	nefyo mwane shamitombo amushile pa cifulo ukuti nkabwela	Female
01-201011-224854_bem_fb0_elicit_14.wav	pa kwikata bekata uushingile mu cishilwa bwangu abaingila bwangu mu cishilwa ninshi bena bapusuka	Male
11-201011-185414_bem_c4b_elicit_17.wav	nao natulecita njele ya tata	Female
01-201012-190124_bem_fb0_elicit_3.wav	baisa kafyantika na mukati ke liba bateya kwati lukose iliba nomba lyashala naliminina	Male
05-200918-093426_bem_a40_elicit_17.wav	kulya kwine ku mabala yenu muya mu kulimina eko ukaye teya isumbu ili	Male
