audio	sentence	speaker_gender
01-200914-213535_bem_d31_elicit_34.wav	elyo bamayo bapamulomo ba lwambo	Male
10-200914-180622_bem_346_elicit_6.wav	kwati ifyo kuti aba uwakutuletela umuti ngatatuleumfwa bwino	Male
01-180101-020249_bem_d31_elicit_36.wav	mulesanga ukutila muli ifintu ifipya uno muku inkupo ili mwilangi limbi mu musango upya ulubali lulelanda pa fyupo ilyashi lya bwikashi bwa bantu bamo	Male
03-200916-120506_bem_798_elicit_17.wav	iyi enshita intu abaume batendeka ukutema elyo banamayo nabo batendeka ukuseepa	Female
03-200925-043821_bem_798_elicit_20.wav	ukupepa fwaka ukunwa na fimbipo lesa waluse ifyo acitile pali ine na imwe bene kuti abomba pa mweo wenu lesa te wakapatulula iyoo	Female
01-201011-221153_bem_fb0_elicit_6.wav	pa kucita shikitishikiti balapatulukana baikala utubungwetubungwe bashinguluka iconto ca mulilo	Male
03-200921-105818_bem_798_elicit_62.wav	ababomfi ba pa fibansa fya ndeke na babomfi ba mu ndeke pamo na babomfi ba mu mipaka ya caalo	Female
01-201001-223110_bem_fb0_elicit_35.wav	elyo ulya kamishi ese akuteeke ku munga we fwafwa	Male
01-200922-000917_bem_d31_elicit_37.wav	nangu ukulolesha icintu icikalamba	Male
05-200917-113913_bem_a40_elicit_26.wav	iyo cinje kulonda indalama shandi kuli kalyamisha	Male
01-200917-132419_bem_d31_elicit_12.wav	ukumoneka nelyo butandashi bwakwa kasesema mu musumba bwali no kutinya bakalamba ba mushi	Male
03-200916-015847_bem_798_elicit_2.wav	ilingi lingi ilowela umufulo	Female
01-200918-090125_bem_d31_elicit_2.wav	scientology mipepele ipya iyatendekwe no muntu umo uweshina lya l ron hubbard nineteen eleven ukufika nineteen eight six apo papite imyaka fifty mu america	Male
12-201010-083232_bem_526_elicit_28.wav	awe naikala na pa busanshi bwine umunandi asendemepo namwikata pa cifuba kwena naumfwa akamweo kaleisa fye panono	Male
03-200925-050356_bem_798_elicit_45.wav	ico takwali na babomfi ba nshita shonse aba cilonganino ubuyantanshi bwaleshingashinga pantu twalebomba fye ilyo twakwata inshita yesu	Female
05-200918-093426_bem_a40_elicit_52.wav	umo abalumendo bashi tekanishisha kuyafye ku banankwe ati	Male
01-201005-234215_bem_fb0_elicit_38.wav	umugjomba walolesha ku fmuti fya mu mutanda wamona ukuti ububenshi bwalibumba ku fimuti	Male
01-200917-185936_bem_d31_elicit_1.wav	kafikenipo bane mwilaba ukweba yohane ukwisa ku ng'anda ku mwandi e kwasuka kwakwa sembe shimapepo	Male
01-180102-143243_bem_d31_elicit_57.wav	uko umulumendo aishile ipaya mulamu wakwe munshila iyabipa nganshi	Male
06-200916-094743_bem_c20_elicit_46.wav	akati oti umo	Female
04-200914-215055_bem_346_elicit_14.wav	mwende bwino mwaumfwa ba geledi wanu	Female
01-200922-084033_bem_d31_elicit_26.wav	baposa inshita ishingi pa fintu ifishilebanonsha nangu fimo	Male
03-201007-015856_bem_798_elicit_53.wav	amwenefye uko umukashi wakwe awa no mulopa walipo na cululululululu	Female
12-201007-230806_bem_526_elicit_8.wav	kanshi bushiku bumo ilyo twali mu sukulu twaumfwile kafundisha umbi ukufwa kwakwe ku zambezi	Male
05-200917-101616_bem_a40_elicit_97.wav	bebele we mukashi ipika nafwe nsala weee lelo no kwipika filya njipika mu mpanga nshipike	Male
01-201006-093742_bem_fb0_elicit_34.wav	lelo umuntu abalesha	Male
01-180102-143243_bem_d31_elicit_39.wav	mukwai tuletotela ba kateka no buteko nakabili	Male
13-201009-113828_bem_40e_elicit_13.wav	naumfwa basosa abati icililampi cilya ifyo cali cileyakisha kwati mweshi atemwa akasuba	Male
03-200925-062606_bem_798_elicit_50.wav	kumfwa ifitabo ifyashalapo kuti fyashitishiwa panuma	Female
03-200925-010537_bem_798_elicit_25.wav	ubukulu bwakupeela ubunte kulenga abaleumfwa nabo beshibe no kumona ifyo lesa abomba	Female
03-201004-103454_bem_798_elicit_41.wav	imfubu nasho ashiti twafwa mwe	Female
01-201002-003945_bem_fb0_elicit_25.wav	nkashi kwa kondakita apokelela janet bwinobwino ena aletontonkanya ukuti cisotwe ni bukwe bwakwe	Male
