speaker_id	audio	sentence	duration	gender	gender_domain
3	03-200924-222234_bem_798_elicit_13.wav	kafundisha wa cipingo mukwafwilisha atile kuli amashiwi yane ngaya	6.4	F	0
3	03-201007-013831_bem_798_elicit_22.wav	pantu aaliishibe ukuti musaka aaliibapangila nakale ukuti akabakakishe aba bantu bapwa muno ukwiba ifyuma fya bantu nokwipaya abanabo	12.43	F	0
3	03-201001-105646_bem_798_elicit_39.wav	kale kwali imisonko	2.04	F	0
3	03-201007-011712_bem_798_elicit_32.wav	baile pa mfalashi imo ine	3.18	F	0
17	17-200916-152419_bem_346_elicit_47.wav	nomba lilya akale balekokosha ukutampisha isukulu	5.08	F	0
3	03-200921-105818_bem_798_elicit_19.wav	nga cakuti muletunganya ukuti namukwata atemwa umuntu umbi nakwata ifilangililo ne fishibilo fya bulwele bwa kolonavailasi	8.96	F	0
3	03-201004-113233_bem_798_elicit_15.wav	umwaice nga abwelo mutende lyena e pa kumupeela ne shina lyakwe ilyabufumu	6.06	F	0
3	03-201006-025003_bem_798_elicit_30.wav	ubushiku bonsefye shamitombo alatontokanya ifyakucila pali uyu muntu koyikoyi	7.26	F	0
3	03-200925-062606_bem_798_elicit_48.wav	uyu musango ukalaafwa ukwishiba impendwa ya fitabo ifilingile ukulembwa mukukonkanyapo	7.24	F	0
3	03-200921-214144_bem_798_elicit_22.wav	nangu limbi muletontonkanya ukuti uyo muntu kuti aba mubwafya bwa kusendwa kunse ya calo pakuti baye musembulula	8.94	F	0
3	03-200916-033028_bem_798_elicit_19.wav	ee te bufi lesa talaba ku ciminine	5.04	F	0
1	01-201013-141625_bem_fb0_elicit_14.wav	ku lushishi ulo apyatile umumposempose eko akakila no bulyo akakila pakati kalushishi	10.12	M	1
3	03-200925-003120_bem_798_elicit_31.wav	pantu imimbulu ikali ikamwingilila elyo tayakapanye mukuni wakwa kristu	6.85	F	0
3	03-201007-004908_bem_798_elicit_48.wav	nomba alau aibukisha lingi untu waluba camupesha amaano ali nga tukopana shani	9.07	F	0
3	03-201006-003654_bem_798_elicit_26.wav	ifyo fine kuti nowabikamo ici no wabikamo ici ala ni ku maisalile	6.44	F	0
3	03-201006-015824_bem_798_elicit_4.wav	awe balapilinta mukwai kuti abamakamela nabakope nkasa cipesha maano	7.08	F	0
1	01-180102-181703_bem_d31_elicit_50.wav	kuti twatemwa nakabili ukulanda ku bekala caalo mu ncende iya lekana lekana	5.76	M	1
3	03-200923-230549_bem_798_elicit_48.wav	elyo dabidi apalanya ifintu aumfwile ukupitila mukwipusha abantu ne fintu aimwenene umwine	8.19	F	0
3	03-200921-105818_bem_798_elicit_36.wav	ifi efilangililo fya kolonavailasi ifyaseeka	3.68	F	0
3	03-200925-043821_bem_798_elicit_37.wav	cikope cilelangisha pe lyashi ili lyonse ilyo mwasalapo ukufuma muli marko chapita one ukushinta ku chapita ten	8.69	F	0
1	01-180101-044203_bem_d31_elicit_10.wav	bonse tabaishibe bwino bwino finshi fyakulacitika muli uku kulongana pantu abengi ewali umuku wantanshi ukusangwa kukulongana kwa uyu musango	11.3	M	1
3	03-200924-200908_bem_798_elicit_31.wav	bushe kuli umuntu uwasambilila uulemucinga mu mulimo lesa amupeela	5.51	F	0
3	03-200921-165915_bem_798_elicit_9.wav	umuntu uwacita iyi milandu kuti atwalwa kucifungo cibe mwaume nangu mwanakashi	7.1	F	0
3	03-200916-033028_bem_798_elicit_35.wav	na pamulandu wa ifi bakapita ba ncito pamo naba bomfi balakwatamo no mwenso mu ncito shabo	9.76	F	0
3	03-200921-105818_bem_798_elicit_48.wav	kabili bulafuma ku muntu umo uulwele no kwambukila umuntu umbi	4.86	F	0
3	03-201002-091908_bem_798_elicit_23.wav	nga aba nemiponto nangu umusalula	3.54	F	0
3	03-200916-125910_bem_798_elicit_14.wav	amalumbo yamo aya yatanteme pesamba	4.17	F	0
3	03-200925-070127_bem_798_elicit_10.wav	icitabo ca natuleya  lets go ca bantu ba mu nkuta shonse	5.2	F	0
3	03-201003-235942_bem_798_elicit_31.wav	muhenda alatucebula kuti twise tubaabusheko	4.7	F	0
3	03-201007-004908_bem_798_elicit_35.wav	ilyo naumfwile ukuti uli wa ku lupwa lwa bufumu umutima waculile cibi	6.06	F	0
3	03-201007-002328_bem_798_elicit_37.wav	aalefwayafye kuti amukonke pakuti amumweneshe umo aalepita monse	6.4	F	0
3	03-200916-023738_bem_798_elicit_2.wav	taboomfwa insoni sha mpanga yabo pantu nangu impofu e noko tabaikana  uobe e obe  uwamubiyo te obe	11.5	F	0
17	17-200916-192637_bem_346_elicit_40.wav	uleminina napetebulo ku ng'anda	2.99	F	0
3	03-200924-204525_bem_798_elicit_15.wav	na imwe bene kuti mwaishibapo amabumba yamo ayainikwa peshiwi lye senge	5.97	F	0
17	17-200916-152419_bem_346_elicit_17.wav	kabiyeni mukutusha	3.09	F	0
3	03-201006-005222_bem_798_elicit_10.wav	wongo alimwebele na bwinobwino ukuti ku blueville kwashelefye ndo imo pa nshila bwaca wayafika nangu fourteen koloko	10.82	F	0
3	03-200924-204525_bem_798_elicit_11.wav	fintu nshi fimo ifikanya isenge	2.52	F	0
3	03-201006-011410_bem_798_elicit_31.wav	balalanda balaseke cibi	3.65	F	0
