audio,sentence
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201012-193916_bem_fb0_elicit_25.wav,umo mwine e mukusambilila
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-133712_bem_798_elicit_25.wav,ifyakulya ubushiku bafimwena kumalushi
/scratch/skscla001/experiments/datasets/bemgen/audio/17-200915-120130_bem_346_elicit_22.wav,shalenipo kalasi
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-091537_bem_798_elicit_30.wav,yatile nkondo ishipwafye cabwela caisha no mwana
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200917-221220_bem_d31_elicit_19.wav,shikulu yesu alaile ukuti ukuli babili nangu batatu abalonganina mwi shina lyakwe akalabako mukati kabo
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201001-105646_bem_798_elicit_12.wav,awe cilia batila ukulumbula cimbwi ekumwita twaumfwafye pulata uupita nga mumwakwe ati oti ufuma cilutungu
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-141341_bem_798_elicit_0.wav,ifi shikumana fiwa
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200929-215409_bem_fb0_elicit_24.wav,kwena muno mufulira nshilakokolamo sana ndi mweni nafumine nombaline ku lusaka ukwikala abafyashi bandi
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-063230_bem_798_elicit_12.wav,naani babepeshe ukwipaya kolala joni melodi
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-003654_bem_798_elicit_22.wav,umushobo wa aaba bantu afikileko ni ba maindeo
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201001-100406_bem_798_elicit_39.wav,bonse pamushi pacaani taba ishibe insala emukutila lyonse baleeba abaikuta mulusuba namainsa kumo
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201004-193949_bem_fb0_elicit_12.wav,pa milumbe ii muli fye imilumbe itatu iyo naumfwile ku bakalamba neyi ili pa fipendo five na six na seven
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200917-234543_bem_d31_elicit_5.wav,muli mateo tulelanga yohane kabatisha aleipushe lipusho limo line
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201006-105203_bem_fb0_elicit_24.wav,bonse abati ee mwandini kanabesa lelo mwise mumupwishe icinung'unu
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-003120_bem_798_elicit_45.wav,lelo kuti twabateyanya lesa alefwaya ukuti tubomfye ifyabupe fyesu ifyabumupashi kukwafwilisha abantu ukuti babe abakalamba
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201013-132016_bem_fb0_elicit_41.wav,limbi kuti e balya ne fingi pantu abengi balibeshiba ukuti tabakwata bakubasabila utwa mu mpanga
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-120506_bem_798_elicit_34.wav,ukulingana nokupenda kwa kwa lesa ubu ebushiku bwakutendekelapo umulungu
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200920-120041_bem_798_elicit_15.wav,umuntu kuti ayambula ubu bulwele ukupitila
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-013752_bem_798_elicit_24.wav,atampa no kumushimikila ifyo bamwebele ku ofeshi
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201007-022920_bem_798_elicit_28.wav,elyo nokulomba ukuti apo icaalo cakwe cilecula ku bubi bwa bantu nasha pa bafumu
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201002-011519_bem_fb0_elicit_27.wav,joni aisafwituka ne cipyu mu nganda mwa banalume abwelela na kumwakwe
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-143443_bem_798_elicit_21.wav,ngacakuti iwe nangu umuntu umbi untu waishiba ali mu cuupo
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-062208_bem_d31_elicit_2.wav,tacaposele ro inshita ukwishiba ukuti eco bawishi baletontonkanyapo
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200918-112337_bem_d31_elicit_23.wav,elyo mukwete ifya kutwishika nga abramu fintu nshi fingamwafwa
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201011-231356_bem_fb0_elicit_15.wav,ifisaye fyena nelyo bakwate cimocimo te mulandu kuti ico batemwa eco balayangasha
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201013-134137_bem_fb0_elicit_32.wav,nga cakuti balanika nomba twasuka twafula kuti banailako na ba pa nsaka abakalamba nabo batasha no kutasha
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200918-075458_bem_d31_elicit_2.wav,muli kristu abayuda na bena fyalo abatetekela bali umubili umo ekutila umushobo umo
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200930-150533_bem_fb0_elicit_4.wav,joni fyonse ifyo walanda mune fintu fyabola fyekafyeka
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201006-112930_bem_fb0_elicit_13.wav,shimona ibuku nembamo amasambi yobe ifyo lyalamba
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-122608_bem_798_elicit_25.wav,tapali nangu umo nomba uwakuba no mwenso nangu amone icili shani
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-042805_bem_d31_elicit_42.wav,ukulembwa kwa ulu lupapulo
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201012-180720_bem_fb0_elicit_12.wav,ku kuta impeta takwaba muti wa kubikako nangu uwakushikila iyo basosa fye pakuti ababebuka baleta mwensomwenso balebalya
