audio	sentence
/scratch/skscla001/speech/data/bemgen/audio/01-201012-193916_bem_fb0_elicit_25.wav	umo mwine e mukusambilila
/scratch/skscla001/speech/data/bemgen/audio/12-201010-075548_bem_526_elicit_13.wav	abafyashi ilyo baumfwile aya mashiwi batemenwe nganshi no kutasha batashishe nganshi
/scratch/skscla001/speech/data/bemgen/audio/05-200916-171339_bem_a40_elicit_25.wav	twaleni inkalata kuli ba kafundisha
/scratch/skscla001/speech/data/bemgen/audio/03-200916-133712_bem_798_elicit_25.wav	ifyakulya ubushiku bafimwena kumalushi
/scratch/skscla001/speech/data/bemgen/audio/05-200916-173030_bem_a40_elicit_47.wav	epakwinika nomba ii inkalamo abati ni sunkutuwamilimo
/scratch/skscla001/speech/data/bemgen/audio/17-200915-120130_bem_346_elicit_22.wav	shalenipo kalasi
/scratch/skscla001/speech/data/bemgen/audio/03-201004-091537_bem_798_elicit_30.wav	yatile nkondo ishipwafye cabwela caisha no mwana
/scratch/skscla001/speech/data/bemgen/audio/01-200917-221220_bem_d31_elicit_19.wav	shikulu yesu alaile ukuti ukuli babili nangu batatu abalonganina mwi shina lyakwe akalabako mukati kabo
/scratch/skscla001/speech/data/bemgen/audio/03-201001-105646_bem_798_elicit_12.wav	awe cilia batila ukulumbula cimbwi ekumwita twaumfwafye pulata uupita nga mumwakwe ati oti ufuma cilutungu
/scratch/skscla001/speech/data/bemgen/audio/03-200916-141341_bem_798_elicit_0.wav	ifi shikumana fiwa
/scratch/skscla001/speech/data/bemgen/audio/01-200929-215409_bem_fb0_elicit_24.wav	kwena muno mufulira nshilakokolamo sana ndi mweni nafumine nombaline ku lusaka ukwikala abafyashi bandi
/scratch/skscla001/speech/data/bemgen/audio/04-201005-213708_bem_40e_elicit_18.wav	mwe mfumu mukalima mukakopole na maboko tafyakamene mulenga amutumina ifyasalulwa atemwa ifyaipikwa
/scratch/skscla001/speech/data/bemgen/audio/03-201002-063230_bem_798_elicit_12.wav	naani babepeshe ukwipaya kolala joni melodi
/scratch/skscla001/speech/data/bemgen/audio/03-201006-003654_bem_798_elicit_22.wav	umushobo wa aaba bantu afikileko ni ba maindeo
/scratch/skscla001/speech/data/bemgen/audio/01-200918-101707_bem_d31_elicit_27.wav	amalyashi ukufuma mu bible school
/scratch/skscla001/speech/data/bemgen/audio/12-201008-130449_bem_526_elicit_32.wav	twayamba no kutikulula motoka
/scratch/skscla001/speech/data/bemgen/audio/11-201011-185414_bem_c4b_elicit_5.wav	yati njelela
/scratch/skscla001/speech/data/bemgen/audio/03-201001-100406_bem_798_elicit_39.wav	bonse pamushi pacaani taba ishibe insala emukutila lyonse baleeba abaikuta mulusuba namainsa kumo
/scratch/skscla001/speech/data/bemgen/audio/01-201004-193949_bem_fb0_elicit_12.wav	pa milumbe ii muli fye imilumbe itatu iyo naumfwile ku bakalamba neyi ili pa fipendo five na six na seven
/scratch/skscla001/speech/data/bemgen/audio/01-200917-234543_bem_d31_elicit_5.wav	muli mateo tulelanga yohane kabatisha aleipushe lipusho limo line
/scratch/skscla001/speech/data/bemgen/audio/01-201006-105203_bem_fb0_elicit_24.wav	bonse abati ee mwandini kanabesa lelo mwise mumupwishe icinung'unu
/scratch/skscla001/speech/data/bemgen/audio/03-200925-003120_bem_798_elicit_45.wav	lelo kuti twabateyanya lesa alefwaya ukuti tubomfye ifyabupe fyesu ifyabumupashi kukwafwilisha abantu ukuti babe abakalamba
/scratch/skscla001/speech/data/bemgen/audio/11-201007-190410_bem_c4b_elicit_0.wav	mwe balebelenga
/scratch/skscla001/speech/data/bemgen/audio/01-201013-132016_bem_fb0_elicit_41.wav	limbi kuti e balya ne fingi pantu abengi balibeshiba ukuti tabakwata bakubasabila utwa mu mpanga
/scratch/skscla001/speech/data/bemgen/audio/03-200916-120506_bem_798_elicit_34.wav	ukulingana nokupenda kwa kwa lesa ubu ebushiku bwakutendekelapo umulungu
/scratch/skscla001/speech/data/bemgen/audio/06-200916-152623_bem_c20_elicit_36.wav	mukwai kaluka ifirnembya ifingi nganshi
/scratch/skscla001/speech/data/bemgen/audio/03-200920-120041_bem_798_elicit_15.wav	umuntu kuti ayambula ubu bulwele ukupitila
/scratch/skscla001/speech/data/bemgen/audio/12-201009-111159_bem_526_elicit_18.wav	twakungwilepo nga apalefikila umusungu wa musonko twaimika ne nyenjele ya cikopo iyo abapatili batushilile
/scratch/skscla001/speech/data/bemgen/audio/03-201006-013752_bem_798_elicit_24.wav	atampa no kumushimikila ifyo bamwebele ku ofeshi
/scratch/skscla001/speech/data/bemgen/audio/03-201007-022920_bem_798_elicit_28.wav	elyo nokulomba ukuti apo icaalo cakwe cilecula ku bubi bwa bantu nasha pa bafumu
/scratch/skscla001/speech/data/bemgen/audio/06-200916-152623_bem_c20_elicit_18.wav	mukwai na ukumyanga umucele kashita kaluka umwina wa membya lokoloko
/scratch/skscla001/speech/data/bemgen/audio/01-201002-011519_bem_fb0_elicit_27.wav	joni aisafwituka ne cipyu mu nganda mwa banalume abwelela na kumwakwe
/scratch/skscla001/speech/data/bemgen/audio/03-200921-143443_bem_798_elicit_21.wav	ngacakuti iwe nangu umuntu umbi untu waishiba ali mu cuupo
/scratch/skscla001/speech/data/bemgen/audio/02-200917-183501_bem_197_elicit_21.wav	imbwili
/scratch/skscla001/speech/data/bemgen/audio/01-180101-062208_bem_d31_elicit_2.wav	tacaposele ro inshita ukwishiba ukuti eco bawishi baletontonkanyapo
/scratch/skscla001/speech/data/bemgen/audio/01-200918-112337_bem_d31_elicit_23.wav	elyo mukwete ifya kutwishika nga abramu fintu nshi fingamwafwa
/scratch/skscla001/speech/data/bemgen/audio/14-201008-145225_bem_40e_elicit_3.wav	kuti alesakamana ukuti nalimo nakulacelwa atemwa umulimo wandi tawakapwe bwangu
/scratch/skscla001/speech/data/bemgen/audio/11-201011-164709_bem_c4b_elicit_18.wav	ashimpa na namumpanda epo aisapisha umumposempose
/scratch/skscla001/speech/data/bemgen/audio/05-200916-194744_bem_a40_elicit_13.wav	ilyashi lyapa nsaka lisenda cipuba
/scratch/skscla001/speech/data/bemgen/audio/07-200916-162122_bem_c20_elicit_23.wav	cilya abantu balasumbila kukwisa kumushi twaleka twafuula na ifyakufwala twakiba na mucimpompo bwinobwino
/scratch/skscla001/speech/data/bemgen/audio/02-200916-221043_bem_197_elicit_15.wav	ngabakutuma ukutwala imbila taufwile kuilishanya pantu amashiwi tayafina nge cipe
/scratch/skscla001/speech/data/bemgen/audio/01-201011-231356_bem_fb0_elicit_15.wav	ifisaye fyena nelyo bakwate cimocimo te mulandu kuti ico batemwa eco balayangasha
/scratch/skscla001/speech/data/bemgen/audio/05-200917-085055_bem_a40_elicit_1.wav	kwali umuntu umo ishina lyakwe ni chomba nsangwa aikele eka pa mutanda na mwane
/scratch/skscla001/speech/data/bemgen/audio/05-200917-111722_bem_a40_elicit_31.wav	nako kebele awe shikulu amaka ine nayapwa
/scratch/skscla001/speech/data/bemgen/audio/12-201007-181124_bem_526_elicit_15.wav	cilya imfumu yabwelelamo awe twaya na ku kufundisha
/scratch/skscla001/speech/data/bemgen/audio/04-200916-232841_bem_346_elicit_9.wav	akesa tusambilishako ifya kulanda icisungu
/scratch/skscla001/speech/data/bemgen/audio/01-200914-214639_bem_d31_elicit_48.wav	elyo ba emmanuel bengi mu kalale
/scratch/skscla001/speech/data/bemgen/audio/01-201004-193949_bem_fb0_elicit_0.wav	ifilimo
/scratch/skscla001/speech/data/bemgen/audio/14-201008-145225_bem_40e_elicit_9.wav	kanshi mulenga aikele kulya kwine eka kwati lishilu
/scratch/skscla001/speech/data/bemgen/audio/01-201013-134137_bem_fb0_elicit_32.wav	nga cakuti balanika nomba twasuka twafula kuti banailako na ba pa nsaka abakalamba nabo batasha no kutasha
/scratch/skscla001/speech/data/bemgen/audio/01-200918-075458_bem_d31_elicit_2.wav	muli kristu abayuda na bena fyalo abatetekela bali umubili umo ekutila umushobo umo
/scratch/skscla001/speech/data/bemgen/audio/04-200917-201407_bem_346_elicit_14.wav	niwebo nani ishina'
/scratch/skscla001/speech/data/bemgen/audio/05-200917-111722_bem_a40_elicit_47.wav	ka kalulu kaisa toloka napa butala kabwelela na mu mushi kebele
/scratch/skscla001/speech/data/bemgen/audio/02-200917-172924_bem_197_elicit_6.wav	umuntu uushitendwa kulandalanda
/scratch/skscla001/speech/data/bemgen/audio/07-200916-162122_bem_c20_elicit_11.wav	mukwai twafumina na panse twaita na inkoko inkoko nasho shayabuula na inoma shalalisha
/scratch/skscla001/speech/data/bemgen/audio/01-200930-150533_bem_fb0_elicit_4.wav	joni fyonse ifyo walanda mune fintu fyabola fyekafyeka
/scratch/skscla001/speech/data/bemgen/audio/01-201006-112930_bem_fb0_elicit_13.wav	shimona ibuku nembamo amasambi yobe ifyo lyalamba
/scratch/skscla001/speech/data/bemgen/audio/03-201004-122608_bem_798_elicit_25.wav	tapali nangu umo nomba uwakuba no mwenso nangu amone icili shani
/scratch/skscla001/speech/data/bemgen/audio/11-201011-164709_bem_c4b_elicit_11.wav	te kubikila pakati ka bwendo iyo ni mupepi no bwendo atemwa mu mushita
/scratch/skscla001/speech/data/bemgen/audio/12-201010-081738_bem_526_elicit_7.wav	yangu e bushe nabuca
/scratch/skscla001/speech/data/bemgen/audio/01-180101-042805_bem_d31_elicit_42.wav	ukulembwa kwa ulu lupapulo
/scratch/skscla001/speech/data/bemgen/audio/01-201012-180720_bem_fb0_elicit_12.wav	ku kuta impeta takwaba muti wa kubikako nangu uwakushikila iyo basosa fye pakuti ababebuka baleta mwensomwenso balebalya
/scratch/skscla001/speech/data/bemgen/audio/05-200916-140243_bem_a40_elicit_40.wav	yakwipikilamo
/scratch/skscla001/speech/data/bemgen/audio/04-200917-202808_bem_346_elicit_15.wav	uleumfwa ukulwala
/scratch/skscla001/speech/data/bemgen/audio/01-201006-093742_bem_fb0_elicit_13.wav	lelo nga apwisha inama shonse isho ifwe tulya na ifwe tukafwa ku nsala
/scratch/skscla001/speech/data/bemgen/audio/04-201009-122744_bem_40e_elicit_33.wav	kuti buleca abantu bonse imishi yonse basapukila mu mpanga
/scratch/skscla001/speech/data/bemgen/audio/05-200916-155050_bem_a40_elicit_42.wav	ee ninkwata ubupe bwa mfumu
/scratch/skscla001/speech/data/bemgen/audio/03-200920-120041_bem_798_elicit_10.wav	umutwe ubukali
/scratch/skscla001/speech/data/bemgen/audio/03-200921-214144_bem_798_elicit_20.wav	ba mpandamano bakomfwa kuli fintu mulelanda ukwasuka amepusho yenu elyo nokumituma kumbi uko mwingasanga ubwafwilisho mu ncende yenu
/scratch/skscla001/speech/data/bemgen/audio/03-200924-204525_bem_798_elicit_32.wav	kabili limbi ishiwi ni metoche ililondola ngo kwaka na ifintu nangu ukuibimbamo mu fintu ifilecitika
/scratch/skscla001/speech/data/bemgen/audio/03-201007-002328_bem_798_elicit_23.wav	alabalondolwela nelyo amwene nokuti ba mangala bali panuma kanofye ukwendesha
/scratch/skscla001/speech/data/bemgen/audio/02-200915-230337_bem_197_elicit_20.wav	umuntu uwakwata ulupwa ulukulu ninshi mukulu
/scratch/skscla001/speech/data/bemgen/audio/05-200916-195842_bem_a40_elicit_49.wav	ululumbi lwa mulanda kukakata
/scratch/skscla001/speech/data/bemgen/audio/01-201001-172058_bem_fb0_elicit_13.wav	janet ati nga filya batila pasho mulenge epaye ulyeko kwena wabepa iwe enda tumone nga cinecine
/scratch/skscla001/speech/data/bemgen/audio/03-201004-091537_bem_798_elicit_23.wav	nicifye mfuli nasho shaba basuka bacimba
/scratch/skscla001/speech/data/bemgen/audio/03-201002-054811_bem_798_elicit_9.wav	leesa tata nimwe mwaishiba ukulamununa lamununeni abafiita nababuuta
/scratch/skscla001/speech/data/bemgen/audio/03-200921-114142_bem_798_elicit_45.wav	nga mulefwaya ukwishibilapo nafimbi pali ba support for trafficked people program kabiyeni pe buula lyapa intaneti
/scratch/skscla001/speech/data/bemgen/audio/01-200918-082418_bem_d31_elicit_5.wav	lelo ili shiwi lya bunte lyalola mu kulanda pa fintu ifyo twapitamo ne filecitika umo twikala
/scratch/skscla001/speech/data/bemgen/audio/01-201013-132016_bem_fb0_elicit_43.wav	nabo balatasha sana abati cine cine e cilya beba ukuti umubiyo nga afyala wilowa akakulengela ukwikuta
/scratch/skscla001/speech/data/bemgen/audio/02-200915-152337_bem_197_elicit_4.wav	kuti nakwanisha nemwine nangu cakuti tamungafwile mwe bakankala
/scratch/skscla001/speech/data/bemgen/audio/01-201001-193222_bem_fb0_elicit_1.wav	lelo e bushiku bwa kuya ku lusaka ku kumona abafyashi bakwa janet
/scratch/skscla001/speech/data/bemgen/audio/03-200916-125910_bem_798_elicit_3.wav	amashiwi ayalatantama apa pesamba yamo tabayalanda kuncende shimo elyo yambi nayo yalalandwa
/scratch/skscla001/speech/data/bemgen/audio/07-200916-162122_bem_c20_elicit_17.wav	uko tucinda canca
/scratch/skscla001/speech/data/bemgen/audio/05-200916-122525_bem_a40_elicit_29.wav	njikaleko panshi
/scratch/skscla001/speech/data/bemgen/audio/03-201003-235942_bem_798_elicit_23.wav	ifyo fine nako kaisaiposa pa mulongo mpaka twaisulafye ilungu pa
/scratch/skscla001/speech/data/bemgen/audio/03-200925-062606_bem_798_elicit_55.wav	nga cakuti umulimo wa kushitisha ifitabo walubana tekuti kube ukupokelela ifitabo ifyakulakonkapo pali lulya lukuta
/scratch/skscla001/speech/data/bemgen/audio/02-200918-093453_bem_197_elicit_4.wav	ukucetekela fye mubakalamba ukuti ebekulakuliisha
/scratch/skscla001/speech/data/bemgen/audio/01-201011-223928_bem_fb0_elicit_10.wav	lelo nga apusa aluba ninshi bapyako abo bene bali no kubwekeshapo nakabili abafilwa bafwile ukubapela akalandu
/scratch/skscla001/speech/data/bemgen/audio/04-201005-213708_bem_40e_elicit_10.wav	mwenya mu mutima ati nshakopwe nga baishiba inkaama ya kusalule mbuto
/scratch/skscla001/speech/data/bemgen/audio/03-200916-040939_bem_798_elicit_19.wav	eico balandila ati akabupe takacepa
/scratch/skscla001/speech/data/bemgen/audio/01-180101-221817_bem_d31_elicit_27.wav	nakulile mung'anda ya bena kristu lelo nshaishibe kristu palwandi
/scratch/skscla001/speech/data/bemgen/audio/11-201011-185414_bem_c4b_elicit_7.wav	yati njelela
/scratch/skscla001/speech/data/bemgen/audio/05-200916-202426_bem_a40_elicit_8.wav	tekwesha ukubala ulubuli nokucetekela mumaka ya munobe ati pantu umunandi wamaka
/scratch/skscla001/speech/data/bemgen/audio/01-200922-102640_bem_d31_elicit_27.wav	panuma yakupepa yesu asalile ibumba
/scratch/skscla001/speech/data/bemgen/audio/05-200916-152753_bem_a40_elicit_37.wav	tulapyanga ilyo tatulaipika
/scratch/skscla001/speech/data/bemgen/audio/01-180101-143137_bem_d31_elicit_37.wav	abakweba ati ndiwa ncito pano nibanani
/scratch/skscla001/speech/data/bemgen/audio/03-200925-061220_bem_798_elicit_23.wav	er  cisuma mwikatila nshamyebele
/scratch/skscla001/speech/data/bemgen/audio/01-200921-163326_bem_d31_elicit_49.wav	ici calola mukuti mu kubomba kwakwe mwali ifyo alecita ifingi
/scratch/skscla001/speech/data/bemgen/audio/01-201001-172058_bem_fb0_elicit_22.wav	bati bekale panono joni kabili asosa ati ni shani mune ubulendo bwesu ubwa kuya ku kumona abafyashi bobe ku lusaka
/scratch/skscla001/speech/data/bemgen/audio/01-200914-200932_bem_d31_elicit_28.wav	ndelombakofye nga kuti mwangafwakofye ukumpelako nangu two hundred kwacha
/scratch/skscla001/speech/data/bemgen/audio/05-200916-152753_bem_a40_elicit_23.wav	nga amelika bushiku nshi yapokele ubuntungwa
/scratch/skscla001/speech/data/bemgen/audio/01-200918-110012_bem_d31_elicit_16.wav	icintu cimbi ico imisepela ilingile ukusambilila mapepo
/scratch/skscla001/speech/data/bemgen/audio/01-180101-044203_bem_d31_elicit_25.wav	twasangile amalembo ayakalamba kabili ayasuma icakuti nga yaumfwikike bwino bwino kuti yaleta ukucinjishiwa ukukalamba mu bwina kristu bwesu
/scratch/skscla001/speech/data/bemgen/audio/05-200916-173030_bem_a40_elicit_10.wav	ndefwaya cimo
/scratch/skscla001/speech/data/bemgen/audio/01-200922-003122_bem_d31_elicit_3.wav	ukulingana nefikomo fya iyi magazine balingile
/scratch/skscla001/speech/data/bemgen/audio/03-201006-013752_bem_798_elicit_7.wav	anatole nao alamukonkomesha no kuti alebika amaano pa nito nokuya umute ku kupepa
