audio	sentence
/scratch/skscla001/speech/data/bemgen/audio/03-201006-005222_bem_798_elicit_34.wav	ku mwabo bena baishibafye mpapa ne filundu
/scratch/skscla001/speech/data/bemgen/audio/03-201004-122608_bem_798_elicit_24.wav	pantu bali no kwikala uyu cka no yu eka mu ncengo shilya shine balengula kale
/scratch/skscla001/speech/data/bemgen/audio/04-201005-204642_bem_40e_elicit_9.wav	nine daniel chola musatwe
/scratch/skscla001/speech/data/bemgen/audio/07-200916-162122_bem_c20_elicit_7.wav	ubushiku bumo aya ipaya utubundi
/scratch/skscla001/speech/data/bemgen/audio/03-200916-010158_bem_798_elicit_31.wav	naifwe twiibukishe ifyo abafyashi baletusambilisha pakuti konse ukotuli twibaletela insoni mu mibele yesu
/scratch/skscla001/speech/data/bemgen/audio/03-201004-110412_bem_798_elicit_4.wav	bashibekatafye babasenda na ku mushi umo babela babula ne mfuti shabo babika na pa mulungo
/scratch/skscla001/speech/data/bemgen/audio/17-200915-120130_bem_346_elicit_0.wav	icingomfwisha bwino umutima wandi
/scratch/skscla001/speech/data/bemgen/audio/11-201011-185414_bem_c4b_elicit_14.wav	nabo abati ee
/scratch/skscla001/speech/data/bemgen/audio/03-201007-022920_bem_798_elicit_47.wav	muka wongo ena ninshi alifwe cikonko ku fyebo fya ba mumushi ilyo baamwikete na koyikoyi
/scratch/skscla001/speech/data/bemgen/audio/03-200923-230549_bem_798_elicit_30.wav	mukati ka cilonganino cobe mwaliba abantu abalumbulwa mu fyakupusana na banabo
/scratch/skscla001/speech/data/bemgen/audio/03-200915-234914_bem_798_elicit_33.wav	pantu  mu cishinka ululimi lwa cifyalilwa nangu ulwa cikaya
/scratch/skscla001/speech/data/bemgen/audio/03-200923-230549_bem_798_elicit_20.wav	lelo dabidi ena aleba mupepi mukuipyungila ali uwamucinshi ku bafyashi bakwe kabili ali uwacishinka mukubasungila ifitekwa
/scratch/skscla001/speech/data/bemgen/audio/04-200914-215547_bem_346_elicit_2.wav	mwibuka kwati cinama nangu umuntu
/scratch/skscla001/speech/data/bemgen/audio/06-200916-094743_bem_c20_elicit_15.wav	kakalulu akati tuleendeca uleke njemufundako ifyakuti mwisemowe ilyo abantu baleisa
/scratch/skscla001/speech/data/bemgen/audio/07-200916-164857_bem_c20_elicit_34.wav	kete shikeyo walaleka tuume mfumu
/scratch/skscla001/speech/data/bemgen/audio/03-200921-154823_bem_798_elicit_34.wav	ici cilekumafye ku fyupo fyonse fibe fyamwi funde ifya ntambi nangufye ifya mapepo
/scratch/skscla001/speech/data/bemgen/audio/03-200924-222234_bem_798_elicit_16.wav	na mapalo yakanishiwa pa kati kesu ukupitila mu mikalile muli kristu
/scratch/skscla001/speech/data/bemgen/audio/04-200917-143010_bem_346_elicit_29.wav	tamwishibe
/scratch/skscla001/speech/data/bemgen/audio/03-200915-234914_bem_798_elicit_1.wav	ilelo naikala pa cipuna pakuti nandepo pafya abana ba sempya katumbi na katumba balebombela icalo cabo
/scratch/skscla001/speech/data/bemgen/audio/03-200925-062606_bem_798_elicit_43.wav	umuntu onse uuli mu mulimo wa ifi fitabo cibe ni mu kulemba nelyo mukusalanganya nangu ni mu kushitisha alingile ukwishibo kuti alebombela lesa mukwafwa ababwananyina
/scratch/skscla001/speech/data/bemgen/audio/04-200917-201407_bem_346_elicit_8.wav	niwebo nani ishina'
/scratch/skscla001/speech/data/bemgen/audio/04-201009-110829_bem_40e_elicit_8.wav	umuntu nga afwa ne sambi likalamba mu mutima takapokelelwe mu mulu akapokelelwa na shetani ciwa
/scratch/skscla001/speech/data/bemgen/audio/03-200924-181036_bem_798_elicit_4.wav	tacipelele fye pa bwafya lelo musebanya
/scratch/skscla001/speech/data/bemgen/audio/03-200921-105818_bem_798_elicit_9.wav	ababomfi ba mu fipatala bonse bafwile ukukonka inshila shasuminishiwa isha kuicingililamo ku malwele
/scratch/skscla001/speech/data/bemgen/audio/06-200918-153816_bem_c20_elicit_26.wav	umulumendo ati ambaisheko umufwi wabwela wamulasa na ukumulasa
