audio	sentence
/scratch/skscla001/speech/data/bemgen/audio/01-201005-224141_bem_fb0_elicit_2.wav	abulile ifyula nafyo afisontelela ku lulamba lwa bemba ukuti eko fileikala
/scratch/skscla001/speech/data/bemgen/audio/12-201009-111159_bem_526_elicit_5.wav	ninshi ilyo nimfwala kakaputula akabuta na tupatufu ku makasa ne mifuko iyafitulukila
/scratch/skscla001/speech/data/bemgen/audio/05-200918-093426_bem_a40_elicit_33.wav	awe umulumendo aolola isabi aolola aolola abula ne sumbu abika napa luputa ati
/scratch/skscla001/speech/data/bemgen/audio/01-201001-203149_bem_fb0_elicit_23.wav	awe nacine pashipita inshita bakanyangu batwala janet ku nganda
/scratch/skscla001/speech/data/bemgen/audio/02-200918-104642_bem_197_elicit_9.wav	naliba namacushi yandi naine mwilamfushishapo nayambi
/scratch/skscla001/speech/data/bemgen/audio/05-200916-173030_bem_a40_elicit_12.wav	mwalaikila pesa
/scratch/skscla001/speech/data/bemgen/audio/01-200921-192247_bem_d31_elicit_6.wav	imilumbe malyashi ayakwato bupilibulo pabili
/scratch/skscla001/speech/data/bemgen/audio/01-200922-012211_bem_d31_elicit_20.wav	imo pali aya mayanda ilifye mupepi nokupwa
/scratch/skscla001/speech/data/bemgen/audio/12-201007-181124_bem_526_elicit_13.wav	yalaipusha umunandi aiti mwashibuka shani
/scratch/skscla001/speech/data/bemgen/audio/01-200929-223449_bem_fb0_elicit_36.wav	robin iyo boy wena ulya taulingile kumupanya uukulemenwe filya
/scratch/skscla001/speech/data/bemgen/audio/05-200916-172331_bem_a40_elicit_40.wav	mulenungika nga nalufyanya
/scratch/skscla001/speech/data/bemgen/audio/12-201010-070823_bem_526_elicit_37.wav	twasanga ninshi no bwali nabanaya kale epo twafikilila fye
/scratch/skscla001/speech/data/bemgen/audio/05-200916-171339_bem_a40_elicit_35.wav	bushe abafyashi bali kwisa
/scratch/skscla001/speech/data/bemgen/audio/01-200918-110012_bem_d31_elicit_6.wav	kuti cawama ukuteyanya mepusho nelyo kubomfye citabo icalembwamo amepusho
/scratch/skscla001/speech/data/bemgen/audio/05-200916-115646_bem_a40_elicit_3.wav	cisuma twakulakonka fintu mwatufunda
/scratch/skscla001/speech/data/bemgen/audio/01-180101-044203_bem_d31_elicit_20.wav	ici cali icansansa nganshi pantu mukulonganafye konse kwashintilile palli one yoane chapter one verse one to four
/scratch/skscla001/speech/data/bemgen/audio/01-201013-141625_bem_fb0_elicit_42.wav	kanshi ni bacibinda bene e bailemena muli ubu bubamfi
/scratch/skscla001/speech/data/bemgen/audio/01-201012-193916_bem_fb0_elicit_32.wav	batila umunwe umo tausala nda
/scratch/skscla001/speech/data/bemgen/audio/05-200916-173030_bem_a40_elicit_27.wav	ndefwaya amenshi ayatalala
/scratch/skscla001/speech/data/bemgen/audio/02-200917-170157_bem_197_elicit_22.wav	akukana umupwilapo
/scratch/skscla001/speech/data/bemgen/audio/01-201001-225221_bem_fb0_elicit_2.wav	atampa no kupekenya ishina lya mwana nga afyalwa
/scratch/skscla001/speech/data/bemgen/audio/05-200917-083101_bem_a40_elicit_24.wav	awe nakabili feshiti tucibwekeseshe ici cine tucimone ifyo calacita
/scratch/skscla001/speech/data/bemgen/audio/01-180101-134124_bem_d31_elicit_19.wav	lekeni imfwaye ka foni imbatumine ba yama ba emmanuel
/scratch/skscla001/speech/data/bemgen/audio/01-200917-221220_bem_d31_elicit_34.wav	lelo cabe cikankala mu kubapo kwa lukuta ululefwaya ukwibukisha imfwa yakwa yesu
/scratch/skscla001/speech/data/bemgen/audio/02-200918-084055_bem_197_elicit_1.wav	ukupita mumafya ayakosa
/scratch/skscla001/speech/data/bemgen/audio/12-201007-181124_bem_526_elicit_37.wav	nomba iminaile e ishalensekesha kuti wati tababa na minwe
/scratch/skscla001/speech/data/bemgen/audio/01-201006-002700_bem_fb0_elicit_42.wav	kanshi eco no busanso bwa nsoka bwacepedako mulandu we mijomba
/scratch/skscla001/speech/data/bemgen/audio/01-201012-190124_bem_fb0_elicit_18.wav	cilya twamona ubukungilo ubwingi mukati ka maliba twalakonkelela
/scratch/skscla001/speech/data/bemgen/audio/05-200917-083101_bem_a40_elicit_26.wav	awe indalama nashena shabwekelamo
/scratch/skscla001/speech/data/bemgen/audio/05-200916-132246_bem_a40_elicit_46.wav	cilifye mukwai
/scratch/skscla001/speech/data/bemgen/audio/12-201010-073403_bem_526_elicit_18.wav	icabipileko fye ku mpungu shine ishi minshi pantu kuti pa kwingila ulekulika fye nga fundi alebendela inama
/scratch/skscla001/speech/data/bemgen/audio/08-200915-143450_bem_346_elicit_22.wav	iyi filimu ibomfya utumitwe utwamalangi ayengi
/scratch/skscla001/speech/data/bemgen/audio/02-200917-172924_bem_197_elicit_9.wav	cacitike mukwangungufya sana napalya ntendekele ukulanda pakokolapo
/scratch/skscla001/speech/data/bemgen/audio/01-200914-200932_bem_d31_elicit_46.wav	ndefway imifumye ingulu shonse isho mwakwata mu mutwe uyo ishakulesha ine ukupa
/scratch/skscla001/speech/data/bemgen/audio/01-200918-090125_bem_d31_elicit_9.wav	eico imisepela shesu shakanshiwa mu fintu ifisuma lelo fya endela pamo nobwite bwakuilunda ku mipepele ipya
/scratch/skscla001/speech/data/bemgen/audio/01-201006-090721_bem_fb0_elicit_0.wav	abo bakona amala
/scratch/skscla001/speech/data/bemgen/audio/01-180101-221817_bem_d31_elicit_25.wav	panuma ya myaka imo ku ndola na ku kabwe babombele na bena myabo pa myaka sixteen mu kushimpa ifilonganino na mu bupyungishi bumbi mu chinsali na mu kasama
/scratch/skscla001/speech/data/bemgen/audio/01-200918-120021_bem_d31_elicit_4.wav	ne filonganino ukulenga icimonwa camapange yakwa lesa ukumoneka bwino bwino muli bena mu myaka ileisa
/scratch/skscla001/speech/data/bemgen/audio/01-201001-223110_bem_fb0_elicit_12.wav	janet pa kunaya ubwali ali fye bulandabulanda aleimba na kalwimbo baleimba na bakapenta babiye mu lusaka
/scratch/skscla001/speech/data/bemgen/audio/01-200918-113920_bem_d31_elicit_26.wav	pashanya yesu na petro ukusosa icishinka kuti caba icakosa
/scratch/skscla001/speech/data/bemgen/audio/12-201010-070823_bem_526_elicit_44.wav	cinecine nga wauma umuloshi no kusuula wasuulako teti pabe nelyo cimo icingamonekapo
/scratch/skscla001/speech/data/bemgen/audio/05-200916-171339_bem_a40_elicit_42.wav	ndelemba inkalata na pensulo
/scratch/skscla001/speech/data/bemgen/audio/01-200922-100107_bem_d31_elicit_43.wav	kambatikeni ku pa cibumba nangu ku cibi pakutila imwe nabambi mulecinkulwa ku kulandapo pali uyu magazine  kubantu elyo nakuli lesa
/scratch/skscla001/speech/data/bemgen/audio/02-200916-121354_bem_197_elicit_21.wav	wienekela ukuti fintu wabombele pakubala efyo wingabomba nalelo ifintu filapilibuka
/scratch/skscla001/speech/data/bemgen/audio/05-200917-101616_bem_a40_elicit_125.wav	nomba ba dadi ilinso bapwafye beka
/scratch/skscla001/speech/data/bemgen/audio/01-200914-200932_bem_d31_elicit_43.wav	awe nimwe ndepepela
/scratch/skscla001/speech/data/bemgen/audio/01-200921-163326_bem_d31_elicit_28.wav	ilingi line balesange nshila shakuleukilamo kucite fyo baibolo yalesambilisha
/scratch/skscla001/speech/data/bemgen/audio/01-200917-221220_bem_d31_elicit_3.wav	ekutila ababa muli ici cilonganino bantu abaitwa no bwite bwa kumulu
/scratch/skscla001/speech/data/bemgen/audio/05-200917-083101_bem_a40_elicit_58.wav	awe akamuti ka kaena katoloka katoloka no lupiya ulufulile
/scratch/skscla001/speech/data/bemgen/audio/01-201011-221153_bem_fb0_elicit_20.wav	bonse bali no kufumbatisha sana pakuti abalesonta bacule nangu ukufilwa uukwete inanda
/scratch/skscla001/speech/data/bemgen/audio/01-180101-020249_bem_d31_elicit_26.wav	fyakuilishanya fyakubepeshiwa mafya
/scratch/skscla001/speech/data/bemgen/audio/01-201005-212422_bem_fb0_elicit_1.wav	cimbwi kale nao ali ni nama nkali nga ifi fine fyaba inkalamo ne mbwili
/scratch/skscla001/speech/data/bemgen/audio/01-200929-221342_bem_fb0_elicit_34.wav	joni tacamutwele ku kunwesha ubwalwa kabili talefwaya na kuposesha ndalama shingi ku kushita ubwalwa
/scratch/skscla001/speech/data/bemgen/audio/01-201002-005539_bem_fb0_elicit_36.wav	lilya balenwa tii janet ashimikila umubiye tonse utwalengele ukuti afyuke ati no kuti
/scratch/skscla001/speech/data/bemgen/audio/05-200917-085055_bem_a40_elicit_1.wav	kwali umuntu umo ishina lyakwe ni chomba nsangwa aikele eka pa mutanda na mwane
/scratch/skscla001/speech/data/bemgen/audio/05-200916-142019_bem_a40_elicit_16.wav	kuti mwabomfyako isembe
/scratch/skscla001/speech/data/bemgen/audio/01-200918-101707_bem_d31_elicit_28.wav	nangula fimbi ifikumine abengi
