speaker_id	audio	sentence	duration	gender	gender_domain
1	01-201012-193916_bem_fb0_elicit_25.wav	umo mwine e mukusambilila	2.72	M	1
1	01-200917-221220_bem_d31_elicit_19.wav	shikulu yesu alaile ukuti ukuli babili nangu batatu abalonganina mwi shina lyakwe akalabako mukati kabo	9.6	M	1
1	01-200929-215409_bem_fb0_elicit_24.wav	kwena muno mufulira nshilakokolamo sana ndi mweni nafumine nombaline ku lusaka ukwikala abafyashi bandi	15.34	M	1
1	01-201004-193949_bem_fb0_elicit_12.wav	pa milumbe ii muli fye imilumbe itatu iyo naumfwile ku bakalamba neyi ili pa fipendo five na six na seven	8.19	M	1
1	01-200917-234543_bem_d31_elicit_5.wav	muli mateo tulelanga yohane kabatisha aleipushe lipusho limo line	4.95	M	1
1	01-201006-105203_bem_fb0_elicit_24.wav	bonse abati ee mwandini kanabesa lelo mwise mumupwishe icinung'unu	7.24	M	1
1	01-201013-132016_bem_fb0_elicit_41.wav	limbi kuti e balya ne fingi pantu abengi balibeshiba ukuti tabakwata bakubasabila utwa mu mpanga	7.83	M	1
1	01-201002-011519_bem_fb0_elicit_27.wav	joni aisafwituka ne cipyu mu nganda mwa banalume abwelela na kumwakwe	6.92	M	1
1	01-180101-062208_bem_d31_elicit_2.wav	tacaposele ro inshita ukwishiba ukuti eco bawishi baletontonkanyapo	6.99	M	1
1	01-200918-112337_bem_d31_elicit_23.wav	elyo mukwete ifya kutwishika nga abramu fintu nshi fingamwafwa	4.42	M	1
1	01-201011-231356_bem_fb0_elicit_15.wav	ifisaye fyena nelyo bakwate cimocimo te mulandu kuti ico batemwa eco balayangasha	9.64	M	1
1	01-201013-134137_bem_fb0_elicit_32.wav	nga cakuti balanika nomba twasuka twafula kuti banailako na ba pa nsaka abakalamba nabo batasha no kutasha	11.93	M	1
1	01-200918-075458_bem_d31_elicit_2.wav	muli kristu abayuda na bena fyalo abatetekela bali umubili umo ekutila umushobo umo	9.14	M	1
1	01-200930-150533_bem_fb0_elicit_4.wav	joni fyonse ifyo walanda mune fintu fyabola fyekafyeka	4.36	M	1
1	01-201006-112930_bem_fb0_elicit_13.wav	shimona ibuku nembamo amasambi yobe ifyo lyalamba	4.4	M	1
1	01-180101-042805_bem_d31_elicit_42.wav	ukulembwa kwa ulu lupapulo	2.31	M	1
1	01-201012-180720_bem_fb0_elicit_12.wav	ku kuta impeta takwaba muti wa kubikako nangu uwakushikila iyo basosa fye pakuti ababebuka baleta mwensomwenso balebalya	13.52	M	1
1	01-201006-093742_bem_fb0_elicit_13.wav	lelo nga apwisha inama shonse isho ifwe tulya na ifwe tukafwa ku nsala	7.08	M	1
1	01-201001-172058_bem_fb0_elicit_13.wav	janet ati nga filya batila pasho mulenge epaye ulyeko kwena wabepa iwe enda tumone nga cinecine	9.98	M	1
1	01-200918-082418_bem_d31_elicit_5.wav	lelo ili shiwi lya bunte lyalola mu kulanda pa fintu ifyo twapitamo ne filecitika umo twikala	7.08	M	1
1	01-201013-132016_bem_fb0_elicit_43.wav	nabo balatasha sana abati cine cine e cilya beba ukuti umubiyo nga afyala wilowa akakulengela ukwikuta	10.87	M	1
1	01-201001-193222_bem_fb0_elicit_1.wav	lelo e bushiku bwa kuya ku lusaka ku kumona abafyashi bakwa janet	4.4	M	1
1	01-201011-223928_bem_fb0_elicit_10.wav	lelo nga apusa aluba ninshi bapyako abo bene bali no kubwekeshapo nakabili abafilwa bafwile ukubapela akalandu	11.46	M	1
1	01-180101-221817_bem_d31_elicit_27.wav	nakulile mung'anda ya bena kristu lelo nshaishibe kristu palwandi	4.51	M	1
1	01-200922-102640_bem_d31_elicit_27.wav	panuma yakupepa yesu asalile ibumba	2.9	M	1
1	01-180101-143137_bem_d31_elicit_37.wav	abakweba ati ndiwa ncito pano nibanani	2.7	M	1
1	01-200921-163326_bem_d31_elicit_49.wav	ici calola mukuti mu kubomba kwakwe mwali ifyo alecita ifingi	6.42	M	1
1	01-201001-172058_bem_fb0_elicit_22.wav	bati bekale panono joni kabili asosa ati ni shani mune ubulendo bwesu ubwa kuya ku kumona abafyashi bobe ku lusaka	8.94	M	1
1	01-200914-200932_bem_d31_elicit_28.wav	ndelombakofye nga kuti mwangafwakofye ukumpelako nangu two hundred kwacha	5.76	M	1
1	01-200918-110012_bem_d31_elicit_16.wav	icintu cimbi ico imisepela ilingile ukusambilila mapepo	3.61	M	1
1	01-180101-044203_bem_d31_elicit_25.wav	twasangile amalembo ayakalamba kabili ayasuma icakuti nga yaumfwikike bwino bwino kuti yaleta ukucinjishiwa ukukalamba mu bwina kristu bwesu	12.48	M	1
1	01-200922-003122_bem_d31_elicit_3.wav	ukulingana nefikomo fya iyi magazine balingile	3.04	M	1
1	01-200918-113920_bem_d31_elicit_45.wav	nangula ilingi mulaba umuntu umo muli cila cilonganino uushitisha magazini kuli ilya ncende	6.15	M	1
1	01-201006-093742_bem_fb0_elicit_6.wav	umuntu aba uwacenjela mu nshila ishingi ishakwipailamo inama	4.08	M	1
1	01-201005-222019_bem_fb0_elicit_1.wav	kale imyaka ishishibantu ing'uni yali ni cibusa wa nshimu batemwanene nganshi baleyangalila pamo no kwafwana	10.03	M	1
1	01-201006-090721_bem_fb0_elicit_49.wav	abaninine ku mitaba baisapuka na mu nseko	3.74	M	1
1	01-200922-084033_bem_d31_elicit_21.wav	ifi bafimona ukuti abakote tabafisakama mu cilonganino	4.11	M	1
1	01-180101-042805_bem_d31_elicit_18.wav	balangilile ukuti umwina kristu onse uwasumina alitwa kukubombela lesa mu kuipelesha na mukunakila	9.3	M	1
1	01-201012-180720_bem_fb0_elicit_26.wav	isho mpeta ninshi shasanguka shabo bali no kushibomfya ifyo batemenwe	7.8	M	1
1	01-180101-221817_bem_d31_elicit_33.wav	nalisambilishako na bena kristu bamo bamo ifyakubomba nacita amakwebo  mu cilonganino ca mu chinsali elyo no tubungwe utwalekana lekana	12.77	M	1
10	10-200914-180622_bem_346_elicit_29.wav	kanshi nomba tuli abakakulwa	4.04	M	1
1	01-201001-204524_bem_fb0_elicit_11.wav	joni aleta pa right inside	4.04	M	1
1	01-200918-112337_bem_d31_elicit_19.wav	nimu fintunshi twingakonkelesha abramu elyo nefyo tushifwile	4.54	M	1
1	01-201002-003945_bem_fb0_elicit_18.wav	aipusha kondakita ati bushe uko balolela ishitima nikwi kabili lili no kwima nshita nshi	9.05	M	1
1	01-200921-163326_bem_d31_elicit_42.wav	takwabe cintu nangu cimo icingabombo mulimo untu amalembo yabomba ico yena yonse yabe cebo caputwamo kuli lesa	11.62	M	1
1	01-200917-223740_bem_d31_elicit_45.wav	lelo alaishe ukuti marko ese kukumwafwa	3.22	M	1
1	01-201004-201313_bem_fb0_elicit_17.wav	imfubu ine nalikwata amaka sana kuti nakwafwa ukutema imiti yonse	5.17	M	1
1	01-201013-141625_bem_fb0_elicit_22.wav	kuti bateya fye ayengi mpaka banaka kano fye ninshi ubukungilo nga bwapwa elyo balabwelela ku mushi	8.39	M	1
1	01-180101-060018_bem_d31_elicit_24.wav	nakuba ni balya abaimona ukwishiba ebalingile ukwafwa abashaishiba	5.88	M	1
1	01-200917-234543_bem_d31_elicit_10.wav	ati ine ndekabilo kubatishiwa kuli imwe	2.65	M	1
1	01-201006-093742_bem_fb0_elicit_10.wav	ninshi walala wapapa ubwafya teti ubutunge na kubutunga	8.44	M	1
1	01-200918-082418_bem_d31_elicit_46.wav	ubwite bwa mu mipepele ipya	2.09	M	1
1	01-201005-222019_bem_fb0_elicit_46.wav	ine nakulashipanda no kubuulako ubuci	3.61	M	1
1	01-200917-132419_bem_d31_elicit_9.wav	muli ulu lupwa mwali abana baume cinekonse konse samwele atuminwe kukusuba umo pali aba	7.44	M	1
1	01-201013-132016_bem_fb0_elicit_15.wav	ee bayafisha pa mwinshi	2.9	M	1
